cbsa_code,csa_code,cbsa_title,metro_micro_indicator,csa_title, cbsa_population ,population_year,cbsa_year
10100,,"Aberdeen, SD",2,,41357,2012,2020
10100,,"Aberdeen, SD",2,,41357,2012,2020
10140,,"Aberdeen, WA",2,,71692,2012,2020
10180,,"Abilene, TX",1,,166963,2012,2020
10180,,"Abilene, TX",1,,166963,2012,2020
10180,,"Abilene, TX",1,,166963,2012,2020
10220,,"Ada, OK",2,,37958,2012,2020
10300,220,"Adrian, MI",2,"Detroit-Warren-Ann Arbor, MI",98987,2012,2020
10380,,"Aguadilla-Isabela, PR",1,,,2012,2020
10380,,"Aguadilla-Isabela, PR",1,,,2012,2020
10380,,"Aguadilla-Isabela, PR",1,,,2012,2020
10380,,"Aguadilla-Isabela, PR",1,,,2012,2020
10380,,"Aguadilla-Isabela, PR",1,,,2012,2020
10380,,"Aguadilla-Isabela, PR",1,,,2012,2020
10380,,"Aguadilla-Isabela, PR",1,,,2012,2020
10380,,"Aguadilla-Isabela, PR",1,,,2012,2020
10380,,"Aguadilla-Isabela, PR",1,,,2012,2020
10420,184,"Akron, OH",1,"Cleveland-Akron-Canton, OH",702262,2012,2020
10420,184,"Akron, OH",1,"Cleveland-Akron-Canton, OH",702262,2012,2020
10460,,"Alamogordo, NM",2,,66041,2012,2020
10500,,"Albany, GA",1,,157399,2012,2020
10500,,"Albany, GA",1,,157399,2012,2020
10500,,"Albany, GA",1,,157399,2012,2020
10500,,"Albany, GA",1,,157399,2012,2020
10540,440,"Albany-Lebanon, OR",1,"Portland-Vancouver-Salem, OR-WA",118360,2012,2020
10580,104,"Albany-Schenectady-Troy, NY",1,"Albany-Schenectady, NY",874646,2012,2020
10580,104,"Albany-Schenectady-Troy, NY",1,"Albany-Schenectady, NY",874646,2012,2020
10580,104,"Albany-Schenectady-Troy, NY",1,"Albany-Schenectady, NY",874646,2012,2020
10580,104,"Albany-Schenectady-Troy, NY",1,"Albany-Schenectady, NY",874646,2012,2020
10580,104,"Albany-Schenectady-Troy, NY",1,"Albany-Schenectady, NY",874646,2012,2020
10620,172,"Albemarle, NC",2,"Charlotte-Concord, NC-SC",60576,2012,2020
10660,,"Albert Lea, MN",2,,31054,2012,2020
10700,,"Albertville, AL",2,,94776,2012,2020
10740,106,"Albuquerque, NM",1,"Albuquerque-Santa Fe-Las Vegas, NM",901700,2012,2020
10740,106,"Albuquerque, NM",1,"Albuquerque-Santa Fe-Las Vegas, NM",901700,2012,2020
10740,106,"Albuquerque, NM",1,"Albuquerque-Santa Fe-Las Vegas, NM",901700,2012,2020
10740,106,"Albuquerque, NM",1,"Albuquerque-Santa Fe-Las Vegas, NM",901700,2012,2020
10760,388,"Alexander City, AL",2,"Montgomery-Selma-Alexander City, AL",92728,2012,2020
10760,388,"Alexander City, AL",2,"Montgomery-Selma-Alexander City, AL",92728,2012,2020
10780,,"Alexandria, LA",1,,154441,2012,2020
10780,,"Alexandria, LA",1,,154441,2012,2020
10820,,"Alexandria, MN",2,,36415,2012,2020
10860,204,"Alice, TX",2,"Corpus Christi-Kingsville-Alice, TX",41754,2012,2020
10860,204,"Alice, TX",2,"Corpus Christi-Kingsville-Alice, TX",41754,2012,2020
10900,,"Allentown-Bethlehem-Easton, PA-NJ",1,,827171,2012,2020
10900,,"Allentown-Bethlehem-Easton, PA-NJ",1,,827171,2012,2020
10900,,"Allentown-Bethlehem-Easton, PA-NJ",1,,827171,2012,2020
10900,,"Allentown-Bethlehem-Easton, PA-NJ",1,,827171,2012,2020
10940,394,"Alma, MI",2,"Mount Pleasant-Alma, MI",42063,2012,2020
10980,,"Alpena, MI",2,,29234,2012,2020
11020,107,"Altoona, PA",1,"Altoona-Huntingdon, PA",127121,2012,2020
11060,,"Altus, OK",2,,26237,2012,2020
11100,108,"Amarillo, TX",1,"Amarillo-Pampa-Borger, TX",257578,2012,2020
11100,108,"Amarillo, TX",1,"Amarillo-Pampa-Borger, TX",257578,2012,2020
11100,108,"Amarillo, TX",1,"Amarillo-Pampa-Borger, TX",257578,2012,2020
11100,108,"Amarillo, TX",1,"Amarillo-Pampa-Borger, TX",257578,2012,2020
11100,108,"Amarillo, TX",1,"Amarillo-Pampa-Borger, TX",257578,2012,2020
11140,,"Americus, GA",2,,36544,2012,2020
11140,,"Americus, GA",2,,36544,2012,2020
