fips_code_county,state_code,county_name,central_outlying_county,cbsa_code, county_population ,nchs_urban_rural_class,population_year,urban_rural_class_year
72001,PR,Adjuntas Municipio,,,,,,
72141,PR,Utuado Municipio,,,,,,
72003,PR,Aguada Municipio,,,,,,
72011,PR,Añasco Municipio,,,,,,
72005,PR,Aguadilla Municipio,,,,,,
72099,PR,Moca Municipio,,,,,,
72093,PR,Maricao Municipio,,,,,,
72153,PR,Yauco Municipio,,,,,,
72121,PR,Sabana Grande Municipio,,,,,,
72083,PR,Las Marías Municipio,,,,,,
72013,PR,Arecibo Municipio,,,,,,
72065,PR,Hatillo Municipio,,,,,,
72017,PR,Barceloneta Municipio,,,,,,
72054,PR,Florida Municipio,,,,,,
72023,PR,Cabo Rojo Municipio,,,,,,
72111,PR,Peñuelas Municipio,,,,,,
72113,PR,Ponce Municipio,,,,,,
72027,PR,Camuy Municipio,,,,,,
72115,PR,Quebradillas Municipio,,,,,,
72081,PR,Lares Municipio,,,,,,
72125,PR,San Germán Municipio,,,,,,
72079,PR,Lajas Municipio,,,,,,
72039,PR,Ciales Municipio,,,,,,
72107,PR,Orocovis Municipio,,,,,,
72091,PR,Manatí Municipio,,,,,,
72051,PR,Dorado Municipio,,,,,,
72143,PR,Vega Alta Municipio,,,,,,
72055,PR,Guánica Municipio,,,,,,
72059,PR,Guayanilla Municipio,,,,,,
72067,PR,Hormigueros Municipio,,,,,,
72071,PR,Isabela Municipio,,,,,,
72073,PR,Jayuya Municipio,,,,,,
72131,PR,San Sebastián Municipio,,,,,,
72097,PR,Mayagüez Municipio,,,,,,
72145,PR,Vega Baja Municipio,,,,,,
72117,PR,Rincón Municipio,,,,,,
72101,PR,Morovis Municipio,,,,,,
72007,PR,Aguas Buenas Municipio,,,,,,
72041,PR,Cidra Municipio,,,,,,
72045,PR,Comerío Municipio,,,,,,
72123,PR,Salinas Municipio,,,,,,
72057,PR,Guayama Municipio,,,,,,
72009,PR,Aibonito Municipio,,,,,,
72043,PR,Coamo Municipio,,,,,,
72095,PR,Maunabo Municipio,,,,,,
72015,PR,Arroyo Municipio,,,,,,
72075,PR,Juana Díaz Municipio,,,,,,
72103,PR,Naguabo Municipio,,,,,,
72037,PR,Ceiba Municipio,,,,,,
72105,PR,Naranjito Municipio,,,,,,
72047,PR,Corozal Municipio,,,,,,
72135,PR,Toa Alta Municipio,,,,,,
72109,PR,Patillas Municipio,,,,,,
72025,PR,Caguas Municipio,,,,,,
72061,PR,Guaynabo Municipio,,,,,,
72129,PR,San Lorenzo Municipio,,,,,,
72127,PR,San Juan Municipio,,,,,,
72139,PR,Trujillo Alto Municipio,,,,,,
72029,PR,Canóvanas Municipio,,,,,,
72087,PR,Loíza Municipio,,,,,,
72035,PR,Cayey Municipio,,,,,,
72053,PR,Fajardo Municipio,,,,,,
72069,PR,Humacao Municipio,,,,,,
72119,PR,Río Grande Municipio,,,,,,
72133,PR,Santa Isabel Municipio,,,,,,
72147,PR,Vieques Municipio,,,,,,
72149,PR,Villalba Municipio,,,,,,
72151,PR,Yabucoa Municipio,,,,,,
72085,PR,Las Piedras Municipio,,,,,,
72089,PR,Luquillo Municipio,,,,,,
72049,PR,Culebra Municipio,,,,,,
72077,PR,Juncos Municipio,,,,,,
72063,PR,Gurabo Municipio,,,,,,
72019,PR,Barranquitas Municipio,,,,,,
78030,PR,St. Thomas Island,,,,,,
78010,PR,St. Croix Island,,,,,,
78020,PR,St. John Island,,,,,,
72031,PR,Carolina Municipio,,,,,,
72021,PR,Bayamón Municipio,,,,,,
72137,PR,Toa Baja Municipio,,,,,,
72033,PR,Cataño Municipio,,,,,,
25013,MA,Hampden County,Central,44140,465923,3,2012,2013
25015,MA,Hampshire County,Central,44140,159795,3,2012,2013
25011,MA,Franklin County,Outlying,44140,71540,5,2012,2013
25027,MA,Worcester County,Central,49340,806163,3,2012,2013
25003,MA,Berkshire County,Central,38340,130016,4,2012,2013
25017,MA,Middlesex County,Central,14460,1537215,2,2012,2013
25009,MA,Essex County,Central,14460,755618,2,2012,2013
25021,MA,Norfolk County,Central,14460,681845,2,2012,2013
25023,MA,Plymouth County,Central,14460,499759,2,2012,2013
25005,MA,Bristol County,Central,39300,551082,2,2012,2013
25025,MA,Suffolk County,Central,14460,744426,1,2012,2013
25001,MA,Barnstable County,Central,12700,215423,4,2012,2013
25007,MA,Dukes County,Central,47240,17041,5,2012,2013
25019,MA,Nantucket County,,0,10298,6,2012,2013
44007,RI,Providence County,Central,39300,628323,1,2012,2013
44009,RI,Washington County,Central,39300,125946,2,2012,2013
44001,RI,Bristol County,Central,39300,49144,2,2012,2013
44003,RI,Kent County,Central,39300,164843,2,2012,2013
44005,RI,Newport County,Central,39300,82036,2,2012,2013
33011,NH,Hillsborough County,Central,31700,402922,3,2012,2013
33015,NH,Rockingham County,Central,14460,297820,2,2012,2013
33017,NH,Strafford County,Outlying,14460,124119,2,2012,2013
33013,NH,Merrimack County,Central,18180,146761,5,2012,2013
33009,NH,Grafton County,Central,30100,89181,5,2012,2013
33001,NH,Belknap County,Central,29060,60327,5,2012,2013
33003,NH,Carroll County,,0,47567,6,2012,2013
33019,NH,Sullivan County,Outlying,30100,43074,5,2012,2013
33005,NH,Cheshire County,Central,28300,76851,5,2012,2013
33007,NH,Coos County,Central,13620,32096,5,2012,2013
23017,ME,Oxford County,,0,57481,6,2012,2013
23031,ME,York County,Central,38860,199005,3,2012,2013
23005,ME,Cumberland County,Central,38860,283921,3,2012,2013
23023,ME,Sagadahoc County,Outlying,38860,35191,3,2012,2013
23001,ME,Androscoggin County,Central,30340,107609,4,2012,2013
23007,ME,Franklin County,,0,30630,6,2012,2013
23011,ME,Kennebec County,Central,12300,121853,5,2012,2013
23015,ME,Lincoln County,,0,34180,6,2012,2013
23027,ME,Waldo County,,0,38820,6,2012,2013
23019,ME,Penobscot County,Central,12620,153746,4,2012,2013
23021,ME,Piscataquis County,,0,17290,6,2012,2013
23009,ME,Hancock County,,0,54558,6,2012,2013
23029,ME,Washington County,,0,32462,6,2012,2013
23003,ME,Aroostook County,,0,70868,6,2012,2013
23025,ME,Somerset County,,0,51910,6,2012,2013
23013,ME,Knox County,,0,39668,6,2012,2013
50027,VT,Windsor County,Central,30100,56211,5,2012,2013
50017,VT,Orange County,Outlying,30100,28924,5,2012,2013
50005,VT,Caledonia County,,0,31121,6,2012,2013
50023,VT,Washington County,Central,12740,59465,5,2012,2013
50025,VT,Windham County,,0,43985,6,2012,2013
50003,VT,Bennington County,Central,13540,36697,5,2012,2013
50021,VT,Rutland County,Central,40860,60869,5,2012,2013
50007,VT,Chittenden County,Central,15540,158504,4,2012,2013
50013,VT,Grand Isle County,Outlying,15540,6983,4,2012,2013
50011,VT,Franklin County,Outlying,15540,48214,4,2012,2013
50015,VT,Lamoille County,,0,24958,6,2012,2013
50001,VT,Addison County,,0,36745,6,2012,2013
50019,VT,Orleans County,,0,27109,6,2012,2013
50009,VT,Essex County,,13620,6226,5,2012,2013
09003,CT,Hartford County,Central,25540,897259,1,2012,2013
09005,CT,Litchfield County,Central,45860,187530,5,2012,2013
09013,CT,Tolland County,Central,25540,151539,2,2012,2013
09015,CT,Windham County,Central,49340,117599,3,2012,2013
09011,CT,New London County,Central,35980,274170,3,2012,2013
36103,NY,Suffolk County,Central,35620,1499273,2,2012,2013
09009,CT,New Haven County,Central,35300,862813,3,2012,2013
09007,CT,Middlesex County,Central,25540,165602,2,2012,2013
09001,CT,Fairfield County,Central,14860,933835,3,2012,2013
34023,NJ,Middlesex County,Central,35620,823041,2,2012,2013
34017,NJ,Hudson County,Central,35620,652302,1,2012,2013
34013,NJ,Essex County,Central,35620,787744,1,2012,2013
34027,NJ,Morris County,Central,35620,497999,2,2012,2013
34031,NJ,Passaic County,Central,35620,502885,2,2012,2013
34003,NJ,Bergen County,Central,35620,918888,2,2012,2013
34039,NJ,Union County,Central,35620,543976,1,2012,2013
34035,NJ,Somerset County,Central,35620,327707,2,2012,2013
34037,NJ,Sussex County,Central,35620,147442,2,2012,2013
34025,NJ,Monmouth County,Central,35620,629384,2,2012,2013
34041,NJ,Warren County,Central,10900,107653,3,2012,2013
34019,NJ,Hunterdon County,Central,35620,127050,2,2012,2013
34033,NJ,Salem County,Central,37980,65774,2,2012,2013
34007,NJ,Camden County,Central,37980,513539,2,2012,2013
34029,NJ,Ocean County,Central,35620,580470,2,2012,2013
34005,NJ,Burlington County,Central,37980,451336,2,2012,2013
34015,NJ,Gloucester County,Central,37980,289586,2,2012,2013
34001,NJ,Atlantic County,Central,12100,275422,3,2012,2013
34009,NJ,Cape May County,Central,36140,96304,4,2012,2013
34011,NJ,Cumberland County,Central,47220,157785,4,2012,2013
34021,NJ,Mercer County,Central,45940,368303,3,2012,2013
36061,NY,New York County,Central,35620,1619090,1,2012,2013
36085,NY,Richmond County,Central,35620,470728,1,2012,2013
36005,NY,Bronx County,Central,35620,1408473,1,2012,2013
36119,NY,Westchester County,Central,35620,961670,2,2012,2013
36079,NY,Putnam County,Central,35620,99607,2,2012,2013
36027,NY,Dutchess County,Central,39100,297322,2,2012,2013
36087,NY,Rockland County,Central,35620,317757,2,2012,2013
36071,NY,Orange County,Central,39100,374512,2,2012,2013
36105,NY,Sullivan County,,0,76793,6,2012,2013
36059,NY,Nassau County,Central,35620,1349233,2,2012,2013
36081,NY,Queens County,Central,35620,2272771,1,2012,2013
36047,NY,Kings County,Central,35620,2565635,1,2012,2013
36001,NY,Albany County,Central,10580,305455,3,2012,2013
36093,NY,Schenectady County,Central,10580,155124,3,2012,2013
36057,NY,Montgomery County,Central,11220,49941,5,2012,2013
36035,NY,Fulton County,Central,24100,54925,5,2012,2013
36091,NY,Saratoga County,Central,10580,222133,3,2012,2013
36039,NY,Greene County,,0,48673,6,2012,2013
36021,NY,Columbia County,Central,26460,62499,5,2012,2013
36083,NY,Rensselaer County,Central,10580,159835,3,2012,2013
36095,NY,Schoharie County,Outlying,10580,32099,3,2012,2013
36115,NY,Washington County,Central,24020,62934,4,2012,2013
36041,NY,Hamilton County,,0,4778,6,2012,2013
36077,NY,Otsego County,Central,36580,61709,5,2012,2013
36025,NY,Delaware County,,0,47276,6,2012,2013
36111,NY,Ulster County,Central,28740,181791,4,2012,2013
36113,NY,Warren County,Central,24020,65538,4,2012,2013
36031,NY,Essex County,,0,38961,6,2012,2013
36089,NY,St. Lawrence County,Central,36300,112232,5,2012,2013
36019,NY,Clinton County,Central,38460,81654,5,2012,2013
36033,NY,Franklin County,Central,31660,51795,5,2012,2013
36067,NY,Onondaga County,Central,45060,466852,3,2012,2013
36011,NY,Cayuga County,Central,12180,79552,5,2012,2013
36075,NY,Oswego County,Outlying,45060,121700,3,2012,2013
36053,NY,Madison County,Outlying,45060,72382,3,2012,2013
36065,NY,Oneida County,Central,46540,233556,3,2012,2013
36023,NY,Cortland County,Central,18660,49474,5,2012,2013
36017,NY,Chenango County,,0,49933,6,2012,2013
36109,NY,Tompkins County,Central,27060,102554,4,2012,2013
36099,NY,Seneca County,Central,42900,35305,5,2012,2013
36045,NY,Jefferson County,Central,48060,120262,4,2012,2013
36117,NY,Wayne County,Outlying,40380,92962,2,2012,2013
36043,NY,Herkimer County,Outlying,46540,64508,3,2012,2013
36049,NY,Lewis County,,0,27224,6,2012,2013
36007,NY,Broome County,Central,13780,198060,4,2012,2013
36107,NY,Tioga County,Central,13780,50478,4,2012,2013
