zcta5,arealand_zcta5_20,areawater_zcta5_20,fips_code_county,arealand_part,areawater_part,state_fips_code,primary
00601,166847909,1598584,72001,164781682,799292,72,1
00601,166847909,1598584,72141,2066227,0,72,0
00602,78546713,8856856,72003,78530159,4428428,72,1
00602,157093426,8856856,72011,16554,0,72,0
00603,177914666,12553072,72005,88747846,6276536,72,1
00603,177914666,12553072,72099,209487,0,72,0
00606,229650764,24974,72093,94466099,12487,72,1
00606,229650764,24974,72153,13398841,0,72,0
00606,229650764,24974,72121,6960442,0,72,0
00610,192258700,8621060,72011,93009966,4310530,72,1
00610,192258700,8621060,72099,2694297,0,72,0
00610,192258700,8621060,72083,342983,0,72,0
00610,192258700,8621060,72003,82104,0,72,0
00611,55141718,7262,72141,27570859,3631,72,1
00612,394405508,30516782,72013,195161357,12843144,72,1
00612,394405508,30516782,72065,1864502,3187,72,0
00612,394405508,30516782,72017,176895,2412060,72,0
00616,56379510,286998,72013,28189755,143499,72,1
00617,95077290,3385874,72017,47372606,1692937,72,1
00617,95077290,3385874,72054,166039,0,72,0
00622,161449616,39166300,72023,80724808,19583150,72,1
00623,203045936,28384298,72023,101522968,14192149,72,1
00624,243247952,30774750,72111,115558559,15384817,72,1
00624,243247952,30774750,72113,6065417,2558,72,0
00627,240191306,7013174,72027,120058676,3506587,72,1
00627,240191306,7013174,72115,36977,0,72,0
00631,16191890,1418738,72001,4091311,252497,72,1
00631,16191890,1418738,72081,4004634,456872,72,0
00636,1899638,0,72125,949819,0,72,1
00637,182182234,52484,72121,85628403,25323,72,1
00637,182182234,52484,72125,3838700,0,72,0
00637,182182234,52484,72079,1624014,919,72,0
00638,369857364,957914,72039,169929646,459604,72,1
00638,369857364,957914,72107,13831444,0,72,0
00638,369857364,957914,72091,1167592,19353,72,0
00641,435700886,6907588,72141,217772289,3453794,72,1
00641,435700886,6907588,72001,78154,0,72,0
00646,109049788,6509526,72051,52970379,3251500,72,1
00646,109049788,6509526,72143,1554515,3263,72,0
00647,81899132,15926180,72055,40217156,7963090,72,1
00647,81899132,15926180,72079,732410,0,72,0
00650,164280050,1128748,72054,39225458,34012,72,1
00650,164280050,1128748,72141,34197145,524575,72,0
00650,164280050,1128748,72091,3504120,3448,72,0
00650,164280050,1128748,72039,2380547,0,72,0
00650,164280050,1128748,72013,1960361,2339,72,0
00650,164280050,1128748,72017,872394,0,72,0
00652,33370432,116118,72013,16685216,58059,72,1
00653,114402526,10550982,72055,55739865,5275491,72,1
00653,114402526,10550982,72121,1461398,0,72,0
00656,218307424,20970794,72059,105926727,10485397,72,1
00656,218307424,20970794,72153,3226985,0,72,0
00659,212672306,6093458,72065,106336153,3046729,72,1
00660,58628992,962,72067,29314496,481,72,1
00662,213780650,10642142,72071,106890325,5321071,72,1
00664,242990376,6636,72073,115340542,3091,72,1
00664,242990376,6636,72141,6154646,227,72,0
00667,311828312,56498774,72079,152931406,28249387,72,1
00667,311828312,56498774,72125,2982750,0,72,0
00669,332102450,177956,72081,155150711,28405,72,1
00669,332102450,177956,72141,6284229,0,72,0
00669,332102450,177956,72083,4449997,58151,72,0
00669,332102450,177956,72131,166288,2422,72,0
00670,240910788,751298,72083,115278844,318073,72,1
00670,240910788,751298,72011,4272383,57576,72,0
00670,240910788,751298,72097,518522,0,72,0
00670,240910788,751298,72093,385645,0,72,0
00674,225085406,13765240,72091,111921830,6882620,72,1
00674,225085406,13765240,72145,620873,0,72,0
00676,253056480,112948,72099,125503540,56474,72,1
00676,253056480,112948,72003,1010761,0,72,0
